"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"571",592094,"Jason Adam",2018,"571","100.0","0.246","0.287","0.269","0.533","0.365","0.353","0.233","30","122","87.9","25.8","2505","88.5","88.62","74","280","288","0.1","6.29","111","151","113","143","301","322","297"
"571",608331,"Max Fried",2018,"571","100.0","0.224","0.121","0.324","0.345","0.310","0.329","0.238","26","116","91.1","2.9","2206","86.5","86.50","82","239","328","0.0","6.18","107","150","105","148","296","319","297"
"569",446399,"Brett Cecil",2018,"569","100.0","0.302","0.194","0.315","0.496","0.378","0.382","0.280","39","129","88.7","14.4","2126","85.4","84.16","51","261","305","-1.2","5.39","112","146","109","146","299","317","299"
"567",645261,"Sandy Alcantara",2018,"567","100.0","0.214","0.145","0.256","0.359","0.317","0.315","0.218","25","117","88.4","11.7","2231","91.8","90.85","67","247","317","-0.9","5.89","109","147","107","149","293","320","300"
"565",641341,"Tyler Bashlor",2018,"565","100.0","0.218","0.202","0.227","0.420","0.317","0.316","0.212","26","119","88.8","26.5","2572","92.4","92.02","68","279","280","-0.4","6.10","111","152","111","148","296","318","299"
"564",571476,"Chris Beck",2018,"564","100.0","0.270","0.254","0.265","0.524","0.382","0.361","0.261","34","126","88.5","12.1","2112","91.0","91.14","63","258","305","0.1","6.30","113","151","113","148","291","313","295"
"562",461833,"Phil Hughes",2018,"562","100.0","0.314","0.286","0.337","0.600","0.403","0.439","0.325","44","140","92.2","19.3","2128","87.8","87.06","62","281","276","-0.7","5.87","115","149","116","147","296","318","296"
"562",607968,"Drew Rucinski",2018,"562","100.0","0.254","0.104","0.299","0.358","0.297","0.297","0.238","34","134","85.6","8.1","1980","90.9","91.21","69","290","267","0.3","6.50","107","147","107","148","301","325","300"
"562",605488,"Jeffrey Springs",2018,"562","100.0","0.256","0.152","0.311","0.408","0.324","0.328","0.253","32","125","86.7","17.6","1977","87.1","87.34","68","251","309","0.2","6.40","107","153","111","147","292","314","294"
"541",594902,"Ben Lively",2018,"541","100.0","0.325","0.167","0.385","0.492","0.387","0.387","0.303","41","126","88.7","15.9","2028","86.2","86.21","45","225","311","0.0","6.38","108","152","110","146","290","321","296"
